H  1 6562.81A
H  1 4861.33A
He 2 4685.64A
He 2 4541.46A
He 1 3888.63A
He 1 4026.20A
He 1 4471.49A
He 1 5875.64A
He 1 6678.15A
He 1 7065.22A
O  2 3726.03A
O  2 3728.81A
O  3 4958.91A
O  3 5006.84A
BLND 4363.00A
O  1 6300.30A
S  2 6716.44A
S  2 6730.82A
S  3 9068.62A
S  3 9530.62A
S  3 6312.06A
S  3 18.707m
S  4 10.507m
Cl 2 9123.60A
Cl 3 5517.71A
Cl 3 5537.87A
Cl 3 8433.66A
Cl 3 8480.86A
Cl 4 7530.54A
Cl 4 8045.63A
N  2 6548.05A
N  2 6583.45A
BLND 5755.00A
Ar 3 7135.79A
Ar 3 7751.11A
Ar 4 4711.26A
Ar 4 4740.12A
